role,id,season,end_n,end_rate,end_success
pitcher,22908,2022,7001,0.551064,0
pitcher,22908,2023,8825,0.551728,1
pitcher,22908,2024,11156,0.536841,0
pitcher,22911,2020,868,0.581797,1
pitcher,22915,2020,162,0.537037,1
pitcher,22922,2020,151,0.516556,1
pitcher,22922,2021,902,0.486696,1
pitcher,22922,2022,1393,0.456569,1
pitcher,22922,2023,1588,0.449622,1
pitcher,22922,2024,1651,0.442156,1
pitcher,22923,2020,185,0.481081,1
pitcher,22923,2021,298,0.533557,1
pitcher,22925,2020,348,0.522989,1
pitcher,22925,2021,548,0.512774,0
pitcher,22925,2022,1315,0.520152,1
pitcher,22925,2023,1466,0.526603,0
pitcher,22925,2024,1791,0.516471,1
pitcher,22926,2020,160,0.65,0
pitcher,22926,2021,284,0.573944,1
pitcher,22926,2022,446,0.565022,1
pitcher,22932,2021,292,0.523973,1
pitcher,22932,2022,694,0.537464,1
pitcher,22932,2023,956,0.540795,0
pitcher,22933,2020,62,0.774194,0
pitcher,22933,2021,376,0.577128,1
pitcher,22933,2022,579,0.531952,0
pitcher,22933,2023,807,0.516729,1
pitcher,22933,2024,818,0.520782,1
pitcher,22960,2021,97,0.515464,0
pitcher,22960,2022,176,0.573864,1
pitcher,22964,2020,268,0.645522,1
pitcher,22964,2022,366,0.677596,1
pitcher,22964,2023,899,0.561735,1
pitcher,22964,2024,1144,0.549825,0
pitcher,22978,2020,630,0.585714,1
pitcher,22985,2023,21,0.714286,0
pitcher,22996,2020,939,0.586794,1
pitcher,22996,2021,1846,0.578548,1
pitcher,22996,2022,2663,0.565152,1
pitcher,22996,2023,3007,0.569338,1
pitcher,22996,2024,3773,0.560827,0
pitcher,22996,2025,3777,0.561027,0
pitcher,23003,2020,50,0.6,1
pitcher,23005,2020,303,0.50495,1
pitcher,23005,2023,463,0.507559,0
pitcher,23005,2024,790,0.497468,1
pitcher,23005,2025,1138,0.472759,1
pitcher,23023,2020,218,0.56422,1
pitcher,23024,2020,35,0.657143,1
pitcher,23024,2022,54,0.666667,0
pitcher,23024,2023,317,0.492114,1
pitcher,23030,2020,802,0.491272,0
pitcher,23030,2023,1478,0.464141,1
pitcher,23030,2024,1652,0.46368,1
pitcher,23035,2020,1779,0.48679,0
pitcher,23035,2021,3157,0.489705,0
pitcher,23035,2023,4913,0.487889,0
pitcher,23035,2024,5758,0.485585,1
pitcher,23041,2020,16,0.875,1
pitcher,23043,2021,54,0.592593,1
pitcher,23043,2022,861,0.533101,1
pitcher,23043,2023,1758,0.505688,1
pitcher,23043,2024,2841,0.479409,1
pitcher,23043,2025,3601,0.481811,1
pitcher,23047,2020,1027,0.533593,0
pitcher,23047,2021,1844,0.509219,1
pitcher,23047,2022,1902,0.511041,1
pitcher,23047,2024,1943,0.510036,1
pitcher,23047,2025,2331,0.507937,1
pitcher,23053,2020,11,0.909091,1
pitcher,23053,2023,429,0.657343,1
pitcher,23054,2020,171,0.590643,0
pitcher,23054,2022,364,0.538462,1
pitcher,23054,2023,434,0.525346,0
pitcher,23054,2024,467,0.522484,1
pitcher,23054,2025,492,0.528455,0
pitcher,23082,2020,11,0.636364,1
pitcher,23082,2021,243,0.588477,1
pitcher,23090,2020,934,0.56424,0
pitcher,23091,2020,30,0.566667,0
pitcher,23092,2021,954,0.48218,0
pitcher,23092,2022,1627,0.506454,1
pitcher,23092,2023,2259,0.50332,1
pitcher,23092,2024,2294,0.50218,0
pitcher,23092,2025,3063,0.488737,0
pitcher,23094,2020,251,0.454183,1
pitcher,23094,2021,1279,0.533229,1
pitcher,23094,2022,1323,0.540438,1
pitcher,23094,2023,1338,0.543348,1
pitcher,23094,2024,1412,0.536827,0
pitcher,23097,2022,142,0.43662,0
pitcher,23097,2023,194,0.402062,0
pitcher,23097,2024,241,0.390041,0
pitcher,23101,2020,38,0.736842,0
pitcher,23101,2021,322,0.524845,1
pitcher,23101,2022,856,0.457944,1
pitcher,23101,2023,1303,0.487337,1
pitcher,23101,2024,1411,0.490432,0
pitcher,23105,2021,2240,0.502232,0
pitcher,23105,2022,2646,0.518896,1
pitcher,23105,2023,2858,0.522743,1
pitcher,23105,2024,3605,0.513176,1
pitcher,23105,2025,4122,0.505822,1
pitcher,23107,2020,35,0.685714,1
pitcher,23110,2020,683,0.494876,0
pitcher,23110,2021,1172,0.503413,0
pitcher,23110,2022,1253,0.50838,1
pitcher,23112,2020,437,0.636156,1
pitcher,23112,2021,1869,0.585875,0
pitcher,23112,2022,3054,0.576948,1
pitcher,23112,2023,3112,0.580656,0
pitcher,23112,2024,3754,0.564198,1
pitcher,23112,2025,4390,0.555125,1
pitcher,23115,2020,41,0.487805,1
pitcher,23115,2022,91,0.538462,0
pitcher,23116,2022,9,0.666667,1
pitcher,23117,2020,38,0.763158,1
pitcher,23122,2020,169,0.591716,1
pitcher,23122,2021,343,0.54519,1
pitcher,23122,2022,462,0.575758,1
pitcher,23137,2020,106,0.764151,1
pitcher,23137,2021,777,0.56242,1
pitcher,23137,2022,1013,0.557749,1
pitcher,23139,2020,44,0.727273,1
pitcher,23139,2021,195,0.569231,0
pitcher,23139,2022,271,0.583026,1
pitcher,23145,2020,86,0.790698,1
pitcher,23145,2021,139,0.683453,0
pitcher,23145,2022,320,0.7,1
pitcher,23145,2025,550,0.592727,0
pitcher,23148,2021,17,0.764706,1
pitcher,23150,2020,220,0.590909,0
pitcher,23150,2021,253,0.620553,0
pitcher,23151,2020,231,0.606061,1
pitcher,23151,2023,310,0.574194,1
pitcher,23151,2024,524,0.507634,1
pitcher,23154,2020,60,0.566667,1
pitcher,23154,2021,272,0.544118,1
pitcher,23154,2023,565,0.538053,1
pitcher,23154,2024,724,0.519337,0
pitcher,23157,2020,39,0.692308,1
pitcher,23157,2021,52,0.615385,0
pitcher,23157,2024,344,0.444767,0
pitcher,23157,2025,516,0.472868,1
pitcher,23158,2020,125,0.648,0
pitcher,23158,2023,181,0.662983,1
pitcher,23158,2024,191,0.643979,1
pitcher,23158,2025,356,0.530899,0
pitcher,23175,2020,213,0.652582,1
pitcher,23175,2021,297,0.636364,0
pitcher,23177,2022,102,0.754902,1
pitcher,23177,2024,349,0.573066,1
pitcher,23182,2021,194,0.438144,0
pitcher,23182,2022,213,0.469484,1
pitcher,23182,2023,271,0.523985,0
pitcher,23190,2020,121,0.694215,1
pitcher,23190,2021,182,0.664835,1
pitcher,23190,2022,472,0.542373,0
pitcher,23190,2023,1025,0.498537,0
pitcher,23190,2024,1759,0.479818,0
pitcher,23190,2025,1981,0.484604,0
pitcher,23194,2020,25,0.72,1
pitcher,23194,2023,50,0.7,1
pitcher,23204,2020,277,0.559567,1
pitcher,23204,2021,632,0.531646,0
pitcher,23204,2022,1250,0.5048,0
pitcher,23206,2020,1532,0.518277,1
pitcher,23206,2021,2720,0.519118,1
pitcher,23206,2023,2787,0.524937,1
pitcher,23206,2024,3985,0.516437,0
pitcher,23206,2025,4863,0.512441,1
pitcher,23225,2020,1125,0.447111,1
pitcher,23225,2021,1855,0.447978,0
pitcher,23225,2022,2777,0.449766,1
pitcher,23225,2023,3747,0.452629,0
pitcher,23225,2024,4613,0.467808,1
pitcher,23229,2022,1202,0.633111,1
pitcher,23229,2023,1443,0.604297,1
pitcher,23229,2024,2642,0.557154,0
pitcher,23229,2025,5174,0.549285,1
pitcher,23231,2020,796,0.682161,1
pitcher,23231,2021,1552,0.62951,1
pitcher,23231,2022,2307,0.642826,1
pitcher,23231,2023,2830,0.650177,1
pitcher,23231,2024,3398,0.628899,0
pitcher,23231,2025,3863,0.603158,0
pitcher,23232,2021,329,0.56535,1
pitcher,23232,2022,565,0.59115,1
pitcher,23232,2023,826,0.625908,1
pitcher,23232,2024,1260,0.538889,0
pitcher,23232,2025,1275,0.536471,1
pitcher,23235,2021,328,0.625,1
pitcher,23235,2022,1420,0.592254,0
pitcher,23235,2023,2694,0.596882,1
pitcher,23235,2024,4139,0.584682,0
pitcher,23235,2025,4831,0.57545,1
pitcher,23236,2021,226,0.557522,1
pitcher,23236,2022,330,0.59697,1
pitcher,23238,2020,842,0.522565,0
pitcher,23238,2021,2072,0.536197,0
pitcher,23238,2022,2417,0.528341,1
pitcher,23238,2023,2626,0.522087,1
pitcher,23238,2024,3549,0.518456,0
pitcher,23238,2025,4376,0.511426,0
pitcher,23240,2021,110,0.6,0
pitcher,23240,2022,162,0.580247,1
pitcher,23257,2021,203,0.517241,1
pitcher,23257,2022,309,0.550162,1
pitcher,23257,2023,1070,0.523364,0
pitcher,23257,2024,1399,0.49178,1
pitcher,23257,2025,1451,0.493453,1
pitcher,23258,2020,56,0.732143,1
pitcher,23258,2021,104,0.596154,0
pitcher,23258,2022,269,0.420074,1
pitcher,23258,2023,312,0.448718,1
pitcher,23258,2024,649,0.473035,0
pitcher,23258,2025,853,0.459555,0
pitcher,23260,2020,79,0.632911,1
pitcher,23260,2021,328,0.509146,1
pitcher,23260,2022,566,0.503534,0
pitcher,23260,2025,670,0.471642,1
pitcher,23262,2021,20,0.5,1
pitcher,23267,2020,44,0.818182,1
pitcher,23284,2020,238,0.647059,0
pitcher,23284,2021,706,0.563739,1
pitcher,23284,2023,718,0.566852,1
pitcher,23284,2024,861,0.530778,0
pitcher,23284,2025,1242,0.495974,0
pitcher,23286,2022,53,0.716981,0
pitcher,23286,2023,162,0.691358,1
pitcher,23286,2024,248,0.592742,1
pitcher,23288,2020,202,0.683168,1
pitcher,23288,2021,1242,0.58132,0
pitcher,23288,2022,2312,0.564014,0
pitcher,23288,2023,3355,0.550522,0
pitcher,23288,2024,4317,0.550614,1
pitcher,23288,2025,4741,0.55115,1
pitcher,23289,2020,523,0.562141,1
pitcher,23289,2021,1218,0.535304,0
pitcher,23289,2023,1713,0.548745,1
pitcher,23289,2024,1747,0.548369,0
pitcher,23293,2020,381,0.632546,1
pitcher,23293,2021,765,0.572549,1
pitcher,23293,2022,2026,0.554788,0
pitcher,23293,2023,2057,0.559553,1
pitcher,23294,2020,78,0.589744,0
pitcher,23294,2023,462,0.471861,1
pitcher,23294,2024,481,0.469854,0
pitcher,23294,2025,648,0.453704,1
pitcher,23302,2020,317,0.514196,1
pitcher,23302,2023,412,0.553398,0
pitcher,23302,2025,476,0.548319,0
pitcher,23305,2023,83,0.578313,1
pitcher,23306,2020,1142,0.577933,0
pitcher,23306,2021,2973,0.566768,1
pitcher,23306,2022,4041,0.552091,1
pitcher,23306,2023,4888,0.54644,1
pitcher,23306,2024,5227,0.542759,1
pitcher,23306,2025,6216,0.533784,1
pitcher,23307,2020,1978,0.526289,0
pitcher,23307,2021,3919,0.51161,1
pitcher,23307,2022,4774,0.499162,0
pitcher,23307,2023,5594,0.488738,0
pitcher,23307,2024,5690,0.487873,1
pitcher,23312,2020,820,0.57561,1
pitcher,23312,2021,1306,0.553599,1
pitcher,23312,2022,2221,0.543449,1
pitcher,23312,2025,2956,0.533153,0
pitcher,23314,2020,328,0.606707,0
pitcher,23314,2021,734,0.514986,1
pitcher,23314,2022,817,0.52142,1
pitcher,23314,2024,895,0.510615,1
pitcher,23324,2022,65,0.738462,1
pitcher,23331,2021,125,0.44,1
pitcher,23331,2022,273,0.575092,1
pitcher,23331,2023,365,0.591781,1
pitcher,23331,2024,408,0.57598,1
pitcher,23332,2020,617,0.541329,1
pitcher,23334,2020,513,0.549708,1
pitcher,23334,2021,1462,0.540356,0
pitcher,23334,2022,1771,0.532468,1
pitcher,23336,2021,222,0.567568,1
pitcher,23336,2022,448,0.544643,1
pitcher,23336,2023,588,0.593537,1
pitcher,23342,2020,12,0.666667,1
pitcher,23342,2021,239,0.531381,1
pitcher,23342,2022,324,0.564815,1
pitcher,23343,2020,20,0.2,0
pitcher,23343,2022,80,0.4625,1
pitcher,23343,2025,209,0.45933,0
pitcher,23347,2022,860,0.52093,1
pitcher,23347,2023,2821,0.549096,0
pitcher,23347,2024,5029,0.542653,1
pitcher,23347,2025,6520,0.523773,0
pitcher,23348,2023,3,0.333333,1
pitcher,23349,2022,16,0.6875,1
pitcher,23352,2021,15,0.6,1
pitcher,23360,2020,13,0.538462,1
pitcher,23360,2021,33,0.666667,1
pitcher,23360,2023,214,0.588785,1
pitcher,23361,2020,313,0.543131,1
pitcher,23361,2024,425,0.548235,0
pitcher,23362,2020,325,0.556923,1
pitcher,23362,2021,931,0.53276,0
pitcher,23363,2020,1203,0.541147,0
pitcher,23363,2021,1984,0.52369,0
pitcher,23363,2022,2907,0.500516,1
pitcher,23363,2024,3239,0.497993,1
pitcher,23363,2025,3923,0.486108,0
pitcher,23366,2022,39,0.487179,0
pitcher,23366,2023,182,0.489011,1
pitcher,23366,2024,209,0.497608,1
pitcher,23369,2020,8,0.625,1
pitcher,23369,2022,437,0.508009,1
pitcher,23369,2023,1152,0.467014,1
pitcher,23369,2024,1374,0.454876,0
pitcher,23369,2025,1842,0.464712,0
pitcher,23383,2020,236,0.542373,1
pitcher,23383,2021,275,0.541818,1
pitcher,23383,2022,564,0.567376,0
pitcher,23383,2023,718,0.576602,1
pitcher,23383,2025,732,0.572404,1
pitcher,23384,2020,158,0.462025,1
pitcher,23385,2020,176,0.715909,1
pitcher,23385,2021,673,0.518574,1
pitcher,23385,2022,740,0.531081,1
pitcher,23411,2020,2520,0.564286,0
pitcher,23411,2021,4363,0.545038,0
pitcher,23411,2022,5305,0.551555,1
pitcher,23414,2020,998,0.53507,1
pitcher,23414,2021,1979,0.534613,1
pitcher,23414,2023,2196,0.528233,1
pitcher,23414,2024,3299,0.509245,1
pitcher,23414,2025,4433,0.503045,1
pitcher,23415,2020,2981,0.627642,0
pitcher,23418,2022,673,0.619614,1
pitcher,23418,2023,1386,0.634921,1
pitcher,23418,2024,2114,0.610218,1
pitcher,23418,2025,2946,0.584861,1
pitcher,23421,2020,569,0.671353,0
pitcher,23421,2023,2196,0.693078,1
pitcher,23421,2024,3141,0.633875,0
pitcher,23421,2025,4463,0.599149,1
pitcher,23422,2020,2745,0.482332,0
pitcher,23422,2021,5075,0.462069,0
pitcher,23423,2020,327,0.642202,0
pitcher,23423,2023,511,0.681018,1
pitcher,23424,2020,28,0.642857,1
pitcher,23424,2023,747,0.685408,1
pitcher,23424,2024,1253,0.60016,1
pitcher,23424,2025,2828,0.499293,1
pitcher,23426,2020,586,0.680887,1
pitcher,23426,2021,1288,0.579969,1
pitcher,23426,2022,1949,0.597742,0
pitcher,23426,2023,2437,0.625359,0
pitcher,23426,2024,2924,0.600889,1
pitcher,23426,2025,3570,0.583473,0
pitcher,23428,2020,130,0.607692,0
pitcher,23428,2023,475,0.673684,1
pitcher,23428,2024,487,0.671458,1
pitcher,23429,2020,649,0.645609,0
pitcher,23429,2023,990,0.685859,1
pitcher,23429,2024,1504,0.608378,1
pitcher,23429,2025,2234,0.562668,1
pitcher,23431,2020,38,0.5,1
pitcher,23437,2020,472,0.493644,1
pitcher,23437,2021,859,0.467986,1
pitcher,23437,2022,1791,0.477387,1
pitcher,23437,2023,2631,0.486127,0
pitcher,23437,2024,3486,0.471027,1
pitcher,23437,2025,4831,0.457048,1
pitcher,23439,2020,571,0.58669,1
pitcher,23439,2021,1479,0.579446,1
pitcher,23439,2022,2366,0.586221,1
pitcher,23439,2023,3071,0.582546,1
pitcher,23439,2024,4032,0.570933,1
pitcher,23439,2025,4274,0.564109,0
pitcher,23440,2020,1481,0.571236,1
pitcher,23440,2021,2095,0.543675,1
pitcher,23440,2022,3962,0.547451,1
pitcher,23440,2023,6965,0.535822,1
pitcher,23440,2024,9307,0.524766,1
pitcher,23444,2022,21,0.571429,0
pitcher,23446,2020,95,0.684211,1
pitcher,23446,2021,122,0.647541,1
pitcher,23447,2020,62,0.66129,1
pitcher,23449,2020,12,0.75,1
pitcher,23449,2021,28,0.642857,0
pitcher,23455,2020,825,0.512727,1
pitcher,23455,2022,1049,0.491897,0
pitcher,23455,2023,1138,0.48594,0
pitcher,23455,2024,1533,0.464449,0
pitcher,23458,2020,143,0.594406,1
pitcher,23458,2021,794,0.557935,0
pitcher,23458,2022,1845,0.512737,1
pitcher,23458,2023,1879,0.516232,0
pitcher,23459,2022,801,0.543071,1
pitcher,23459,2023,1688,0.534953,1
pitcher,23459,2024,2249,0.530458,1
pitcher,23459,2025,2341,0.528407,0
pitcher,23461,2022,180,0.572222,1
pitcher,23461,2023,262,0.641221,1
pitcher,23461,2024,341,0.59824,0
pitcher,23462,2020,160,0.575,1
pitcher,23462,2022,298,0.647651,1
pitcher,23462,2023,920,0.547826,1
pitcher,23462,2024,1166,0.552316,1
pitcher,23462,2025,1745,0.523209,0
pitcher,23475,2020,64,0.59375,1
pitcher,23475,2023,180,0.494444,1
pitcher,23475,2024,726,0.454545,0
pitcher,23475,2025,1205,0.456432,0
pitcher,23476,2020,13,0.538462,0
pitcher,23478,2020,2328,0.514175,1
pitcher,23478,2021,3100,0.500645,0
pitcher,23478,2022,3142,0.502546,1
pitcher,23478,2023,3247,0.498922,1
pitcher,23478,2024,3820,0.485602,0
pitcher,23478,2025,5025,0.480597,0
pitcher,23479,2024,73,0.575342,0
pitcher,23479,2025,140,0.5,0
pitcher,23484,2022,46,0.543478,1
pitcher,23484,2023,236,0.559322,1
pitcher,23484,2024,403,0.488834,0
pitcher,23484,2025,1474,0.436228,1
pitcher,23485,2023,44,0.704545,1
pitcher,23487,2025,247,0.360324,0
pitcher,23488,2023,29,0.37931,1
pitcher,23488,2024,56,0.410714,1
pitcher,23488,2025,107,0.439252,0
pitcher,23491,2020,84,0.678571,0
pitcher,23496,2020,920,0.586957,1
pitcher,23496,2021,1836,0.549564,1
pitcher,23496,2022,2268,0.551587,1
pitcher,23496,2023,2678,0.550784,1
pitcher,23496,2024,2703,0.550499,0
pitcher,23497,2020,108,0.62963,1
pitcher,23497,2021,125,0.592,0
pitcher,23498,2020,671,0.505216,0
pitcher,23498,2021,695,0.503597,0
pitcher,23498,2022,996,0.497992,1
pitcher,23499,2020,236,0.576271,1
pitcher,23499,2021,304,0.565789,0
pitcher,23499,2022,363,0.575758,1
pitcher,23500,2020,166,0.825301,1
pitcher,23500,2022,1157,0.591184,0
pitcher,23500,2023,1511,0.583719,0
pitcher,23500,2024,2052,0.562865,1
pitcher,23501,2020,981,0.504587,0
pitcher,23501,2022,992,0.507056,1
pitcher,23501,2023,1652,0.508475,1
pitcher,23501,2024,2532,0.500395,0
pitcher,23502,2020,52,0.653846,1
pitcher,23504,2022,1414,0.516266,1
pitcher,23504,2023,2292,0.535777,1
pitcher,23504,2024,2699,0.538718,1
pitcher,23504,2025,2981,0.537068,1
pitcher,23512,2020,211,0.668246,1
pitcher,23512,2021,771,0.575875,1
pitcher,23512,2022,1059,0.577904,0
pitcher,23512,2023,1466,0.565484,1
pitcher,23512,2024,2102,0.547098,1
pitcher,23512,2025,2139,0.544647,0
pitcher,23513,2021,104,0.586538,1
pitcher,23513,2022,387,0.514212,0
pitcher,23513,2023,790,0.517722,1
pitcher,23513,2024,1339,0.480956,0
pitcher,23514,2023,35,0.771429,1
pitcher,23514,2024,51,0.647059,1
pitcher,23514,2025,74,0.567568,0
pitcher,23515,2020,276,0.528986,1
pitcher,23515,2021,1282,0.471919,1
pitcher,23515,2022,1681,0.472338,1
pitcher,23515,2023,2359,0.460788,1
pitcher,23515,2025,2464,0.463474,1
pitcher,23516,2020,150,0.76,1
pitcher,23518,2020,1890,0.595767,1
pitcher,23518,2021,4406,0.601906,1
pitcher,23518,2022,6560,0.589787,1
pitcher,23518,2024,7727,0.589362,0
pitcher,23518,2025,8086,0.585456,1
pitcher,23519,2020,73,0.630137,1
pitcher,23519,2021,108,0.657407,1
pitcher,23520,2024,29,0.344828,1
pitcher,23532,2020,126,0.603175,1
pitcher,23532,2021,151,0.602649,1
pitcher,23532,2022,196,0.627551,1
pitcher,23532,2023,294,0.666667,1
pitcher,23532,2024,577,0.596187,0
pitcher,23532,2025,621,0.5781,1
pitcher,23534,2020,2537,0.582578,1
pitcher,23535,2022,14,0.857143,1
pitcher,23535,2023,118,0.627119,1
pitcher,23535,2024,252,0.531746,0
pitcher,23535,2025,393,0.463104,0
pitcher,23536,2020,415,0.575904,1
pitcher,23536,2021,1573,0.554355,1
pitcher,23536,2022,2429,0.51338,1
pitcher,23536,2023,3034,0.511206,1
pitcher,23536,2024,3163,0.511224,1
pitcher,23537,2020,78,0.717949,1
pitcher,23537,2023,97,0.690722,1
pitcher,23538,2022,62,0.693548,0
pitcher,23538,2023,90,0.633333,1
pitcher,23538,2024,264,0.44697,0
pitcher,23540,2021,155,0.709677,1
pitcher,23540,2022,1892,0.542283,1
pitcher,23540,2023,3003,0.528472,1
pitcher,23540,2024,4028,0.53426,1
pitcher,23540,2025,4845,0.528173,1
pitcher,23542,2021,37,0.513514,0
pitcher,23542,2022,342,0.652047,1
pitcher,23542,2023,1009,0.5778,1
pitcher,23542,2024,1399,0.562545,1
pitcher,23542,2025,1710,0.552047,1
pitcher,23554,2020,61,0.704918,0
pitcher,23554,2021,624,0.511218,0
pitcher,23554,2022,1727,0.499131,1
pitcher,23554,2024,1783,0.49972,1
pitcher,23554,2025,1993,0.500753,1
pitcher,23555,2022,1939,0.450232,1
pitcher,23555,2023,4504,0.477131,0
pitcher,23555,2024,6733,0.471558,1
pitcher,23555,2025,9625,0.461403,1
pitcher,23556,2020,382,0.667539,1
pitcher,23556,2021,492,0.626016,0
pitcher,23557,2020,2074,0.566056,0
pitcher,23558,2020,88,0.761364,1
pitcher,23558,2023,1250,0.4952,0
pitcher,23558,2024,2504,0.482428,1
pitcher,23558,2025,3224,0.477667,0
pitcher,23560,2022,246,0.487805,1
pitcher,23560,2024,307,0.465798,1
pitcher,23560,2025,528,0.464015,0
pitcher,23561,2020,984,0.574187,1
pitcher,23561,2021,3132,0.573436,0
pitcher,23561,2022,5809,0.575142,1
pitcher,23561,2023,8564,0.580453,1
pitcher,23561,2024,10401,0.583117,1
pitcher,23561,2025,12330,0.572263,0
pitcher,23564,2020,88,0.784091,1
pitcher,23564,2023,259,0.706564,1
pitcher,23564,2024,478,0.594142,0
pitcher,23564,2025,773,0.505821,1
pitcher,23565,2020,210,0.652381,1
pitcher,23565,2021,1255,0.551394,0
pitcher,23565,2022,2264,0.521643,1
pitcher,23565,2023,2438,0.531583,0
pitcher,23565,2024,2700,0.518519,1
pitcher,23565,2025,3209,0.500467,1
pitcher,23567,2020,47,0.595745,1
pitcher,23567,2021,119,0.613445,0
pitcher,23567,2022,381,0.527559,1
pitcher,23567,2023,575,0.526957,1
pitcher,23567,2024,617,0.533225,1
pitcher,23567,2025,664,0.525602,0
pitcher,23568,2020,790,0.539241,1
pitcher,23568,2021,1405,0.54306,1
pitcher,23568,2022,1495,0.531773,0
pitcher,23568,2024,1525,0.530492,0
pitcher,23574,2020,62,0.612903,0
pitcher,23574,2021,921,0.507058,1
pitcher,23574,2022,934,0.509636,1
pitcher,23575,2020,52,0.711538,1
pitcher,23589,2020,165,0.757576,1
pitcher,23589,2023,1614,0.550186,0
pitcher,23589,2024,2612,0.527182,1
pitcher,23589,2025,4499,0.512336,1
pitcher,23590,2020,1112,0.496403,0
pitcher,23590,2021,2289,0.491044,1
pitcher,23590,2022,3377,0.476458,0
pitcher,23590,2023,4362,0.48762,0
pitcher,23590,2024,5278,0.481811,1
pitcher,23590,2025,6012,0.478543,1
pitcher,23591,2020,13,0.923077,1
pitcher,23591,2022,45,0.733333,1
pitcher,23593,2020,70,0.714286,1
pitcher,23593,2021,861,0.565621,1
pitcher,23593,2022,3351,0.53387,0
pitcher,23593,2023,5361,0.524156,0
pitcher,23593,2024,7501,0.515131,0
pitcher,23593,2025,9504,0.514625,0
pitcher,23596,2020,208,0.557692,1
pitcher,23596,2021,296,0.564189,0
pitcher,23597,2020,127,0.503937,0
pitcher,23597,2021,293,0.511945,1
pitcher,23597,2022,1134,0.470018,0
pitcher,23597,2023,1935,0.455297,1
pitcher,23597,2024,2404,0.467138,1
pitcher,23597,2025,2968,0.471698,1
pitcher,23598,2020,60,0.866667,1
pitcher,23599,2021,70,0.542857,1
pitcher,23599,2022,199,0.572864,1
pitcher,23600,2021,92,0.608696,0
pitcher,23600,2022,163,0.662577,1
pitcher,23614,2020,760,0.584211,1
pitcher,23614,2021,1635,0.574924,1
pitcher,23614,2022,2166,0.54663,0
pitcher,23614,2023,2827,0.541917,1
pitcher,23614,2024,2874,0.539666,1
pitcher,23615,2020,17,0.764706,1
pitcher,23615,2021,39,0.615385,1
pitcher,23615,2024,55,0.563636,0
pitcher,23617,2020,167,0.60479,1
pitcher,23617,2021,234,0.602564,0
pitcher,23617,2022,300,0.593333,1
pitcher,23617,2023,1566,0.502554,0
pitcher,23617,2024,2281,0.490136,0
pitcher,23617,2025,2568,0.491433,0
pitcher,23618,2020,34,0.617647,1
pitcher,23618,2021,75,0.653333,0
pitcher,23624,2020,38,0.815789,1
pitcher,23624,2022,55,0.836364,1
pitcher,23627,2020,897,0.578595,1
pitcher,23627,2021,1180,0.578814,1
pitcher,23627,2022,1448,0.565608,0
pitcher,23627,2023,1663,0.581479,1
pitcher,23627,2024,2329,0.570202,0
pitcher,23627,2025,2596,0.557396,1
pitcher,23628,2020,88,0.613636,0
pitcher,23628,2021,532,0.531955,0
pitcher,23628,2022,1050,0.530476,1
pitcher,23628,2023,1252,0.536741,0
pitcher,23630,2020,928,0.614224,1
pitcher,23630,2021,1720,0.598837,1
pitcher,23630,2022,1983,0.597579,1
pitcher,23630,2023,2695,0.598887,0
pitcher,23630,2024,3640,0.590385,0
pitcher,23630,2025,4728,0.574027,0
pitcher,23631,2020,2160,0.546759,1
pitcher,23631,2021,2901,0.551534,1
pitcher,23631,2022,3097,0.547627,0
pitcher,23632,2020,775,0.547097,1
pitcher,23632,2021,1568,0.533163,1
pitcher,23632,2022,2139,0.528752,0
pitcher,23632,2023,2552,0.532915,0
pitcher,23632,2024,2987,0.526615,1
pitcher,23632,2025,3075,0.522927,0
pitcher,23633,2020,2757,0.525571,1
pitcher,23633,2021,5427,0.515018,1
pitcher,23633,2022,8378,0.518023,0
pitcher,23633,2023,10893,0.515285,0
pitcher,23633,2024,13636,0.530581,1
pitcher,23633,2025,15449,0.537316,0
pitcher,23634,2021,748,0.589572,1
pitcher,23634,2022,1919,0.56592,1
pitcher,23634,2023,2898,0.543133,1
pitcher,23634,2024,4356,0.545225,1
pitcher,23636,2020,747,0.669344,0
pitcher,23636,2023,1221,0.698608,1
pitcher,23637,2020,994,0.470825,1
pitcher,23637,2021,2123,0.463024,1
pitcher,23637,2022,3176,0.467569,1
pitcher,23637,2023,4110,0.463504,1
pitcher,23637,2024,5075,0.489655,1
pitcher,23637,2025,5586,0.497852,0
pitcher,23638,2020,1027,0.648491,0
pitcher,23638,2021,2380,0.607983,1
pitcher,23638,2022,3850,0.591688,1
pitcher,23638,2024,4162,0.589861,0
pitcher,23638,2025,5020,0.572709,0
pitcher,23640,2020,45,0.622222,1
pitcher,23640,2021,765,0.50719,1
pitcher,23640,2022,903,0.520487,0
pitcher,23640,2023,930,0.526882,1
pitcher,23640,2025,993,0.526687,1
pitcher,23642,2020,155,0.63871,0
pitcher,23642,2023,1777,0.677546,1
pitcher,23642,2024,3235,0.608346,1
pitcher,23642,2025,4238,0.587305,0
pitcher,23643,2020,509,0.687623,1
pitcher,23643,2021,730,0.631507,0
pitcher,23643,2022,1104,0.669384,1
pitcher,23643,2023,1733,0.71783,1
pitcher,23644,2020,127,0.582677,0
pitcher,23644,2021,831,0.531889,1
pitcher,23644,2022,2298,0.62228,1
pitcher,23644,2023,2993,0.599399,0
pitcher,23644,2024,3118,0.595253,1
pitcher,23644,2025,3399,0.586055,1
pitcher,23648,2020,16,0.5,1
pitcher,23648,2021,246,0.5,0
pitcher,23648,2022,877,0.531357,1
pitcher,23648,2023,892,0.538117,1
